Corpus,Corpus_Perplexity,Mean_Sentence_Perplexity,Median_Sentence_Perplexity,Total_Sentences,Evaluated_Sentences
Buddhist Sinhala,2.1367645187686595,2.1947897173550617,2.1257418789401514,1024,1024
Mixed,1.6274653539255155,1.6811131275336526,1.5270453023846693,1024,1024
General Sinhala,3.430316678016725,3.6348714580192247,3.317006811441233,1024,1024
