Model,Size,Buddhist PPL,General PPL,Domain Gap
Llama-3.1-8B-Instruct,8B,4.549533810699359,3.769928585155867,0.7796052255434915
Llama-3.2-3B-Instruct,3B,7.64646256249398,7.483701787656173,0.16276077483780682
Aya-Expanse-8B,8B,11.1212566671893,5.917059374274686,5.204197292914614
Qwen2.5-3B-Instruct,3B,11.910307380370796,7.958997264271602,3.9513101160991937
Gemma-2-9B-IT,9B,38.92128045018762,33.01535668410361,5.905923766084015
