Model,Buddhist_Sinhala_PPL,Mixed_PPL,General_Sinhala_PPL,Buddhist_to_General_Ratio,Mixed_to_General_Ratio,Domain_Advantage
Llama-3.2-3B-Instruct,6.617192160271029,7.809088744494428,6.939972896168221,0.9534896258636096,1.125233320263552,Yes
Llama-3.1-8B-Instruct,3.289240468390185,4.175731532536958,3.264069529465108,1.007711520449505,1.279302262051154,No
Qwen2.5-3B-Instruct,7.237380874373605,9.80964073733622,6.563571560956879,1.102658942187033,1.4945583583926232,No
Aya-Expanse-8B,6.208292124361187,8.816659398709524,4.899385418886987,1.2671573255756534,1.7995439519253906,No
Gemma-2-9B-IT,22.207877554527965,36.71123717705241,14.858943122399067,1.4945798884612977,2.470649283374143,No
