Model,Buddhist Sinhala,General Sinhala,Mixed
Aya-Expanse-8B,6.208292124361187,4.899385418886987,8.816659398709524
Gemma-2-9B-IT,22.207877554527965,14.858943122399067,36.71123717705241
Llama-3.1-8B-Instruct,3.289240468390185,3.264069529465108,4.175731532536958
Llama-3.2-3B-Instruct,6.617192160271029,6.939972896168221,7.809088744494428
Qwen2.5-3B-Instruct,7.237380874373605,6.563571560956879,9.80964073733622
