Model,Size,Buddhist_Sinhala_PPL,Mixed_PPL,General_Sinhala_PPL
Llama-3.1-8B-Instruct,8B,3.289240468390185,4.175731532536958,3.264069529465108
Aya-Expanse-8B,8B,6.208292124361187,8.816659398709524,4.899385418886987
Llama-3.2-3B-Instruct,3B,6.617192160271029,7.809088744494428,6.939972896168221
Qwen2.5-3B-Instruct,3B,7.237380874373605,9.80964073733622,6.563571560956879
Gemma-2-9B-IT,9B,22.207877554527965,36.71123717705241,14.858943122399067
