Language,BERTScore F1,BERTScore Precision,BERTScore Recall,ROUGE-1,ROUGE-2,ROUGE-L,BLEU,Questions
ENGLISH,0.7685,0.7464,0.7922,0.0602,0.0000,0.0502,0.0000,10
SINHALA,0.7732,0.7551,0.7924,0.0338,0.0000,0.0386,0.0000,10
