Corpus,Corpus_Perplexity,Mean_Sentence_Perplexity,Median_Sentence_Perplexity,Total_Sentences,Evaluated_Sentences
Buddhist Sinhala,1.8006209633631987,1.8888199948571431,1.7487587233946948,1024,1024
Mixed,2.7060655047662037,2.783924522211408,2.7382090423777568,1024,1024
General Sinhala,3.2779282966040135,3.464205503581988,3.153913441182285,1024,1024
